model_group,model,term,coefficient,std_error,p_value,r_squared,N
ageing_alignment,index_on_oadr,OADR,-0.001906800844609267,0.0004409705526675672,1.531556946206918e-05,0.009568366585230526,1745
ageing_alignment,index_on_oadr_count,OADR,-0.002463012905733365,0.0004686423725008798,1.475151954578317e-07,0.01760902416856946,1745
ageing_alignment,index_on_oadr_count,log_count_plus1,0.0145056707084023,0.002863510458112577,4.069129161007923e-07,0.01760902416856946,1745
