year,sdg,citation_concentration_value
1996,16,0.9299934253780408
1996,17,0.8673469387755102
1997,1,0.4458478903520559
1997,2,0.4039383736353434
1997,3,0.6800000000000002
1997,4,0.6414667270258034
1997,5,0.8374291115311908
1997,6,
1997,7,
1997,8,0.7255183673469388
1997,9,1.0
1997,10,0.5144
1997,11,0.78125
1997,12,1.0
1997,13,0.8605380606098436
1997,14,1.0
1997,15,0.5081484834766863
1997,16,0.4538271604938272
1997,17,0.5
1998,1,0.6706085049729815
1998,2,0.5120987654320988
1998,3,0.8152343271301272
1998,4,0.5892139152730028
1998,5,0.3438641344046749
1998,6,1.0
1998,7,
1998,8,0.8832890217159269
1998,9,0.7958579881656804
1998,10,0.8075519693083962
1998,11,0.7712031558185405
1998,12,0.5022222222222222
1998,13,1.0
1998,14,0.625
1998,15,0.3576331360946746
1998,16,0.463835026161896
1998,17,0.5957010022944088
1999,1,0.4525970727218702
1999,2,0.4116143170197224
1999,3,0.5706101455487205
1999,4,0.9604702408250468
1999,5,0.4412602349590602
1999,6,0.5918367346938775
1999,7,1.0
1999,8,0.8431900200490089
1999,9,1.0
1999,10,0.7344176698782792
1999,11,0.659100374843815
1999,12,0.5
1999,13,0.5003652300949598
1999,14,0.8124263038548754
1999,15,0.3685549156853217
1999,16,0.7156718300436151
1999,17,0.8491274160255207
2000,1,0.4579577376780174
2000,2,0.5933516508265394
2000,3,0.4609857218184262
2000,4,0.9699563243305525
2000,5,0.6104155124653741
2000,6,0.6213017751479291
2000,7,1.0
2000,8,0.7084229319579449
2000,9,0.3090530697190427
2000,10,0.7385792623172994
2000,11,0.6572222222222223
2000,12,0.9545700378583017
2000,13,0.9888697294091944
2000,14,0.5039181125103527
2000,15,0.453514739229025
2000,16,0.3223931738779897
2000,17,0.5308274743104381
2001,1,0.6231136462272925
2001,2,0.4643895747599451
2001,3,0.7408009373782096
2001,4,0.8841457398932983
2001,5,0.5487408949011446
2001,6,0.987604645452383
2001,7,0.8251821019771071
2001,8,0.5999040739040101
2001,9,0.6806099442268898
2001,10,0.8977989949866713
2001,11,0.406547769217334
2001,12,1.0
2001,13,0.9470803303400445
2001,14,0.8114410604769777
2001,15,0.8632819146404699
2001,16,0.7258762851996463
2001,17,0.9388427734375
2002,1,0.5617672116515885
2002,2,0.4991802469135803
2002,3,0.6955288680368334
2002,4,0.79010966141039
2002,5,0.8586274156272026
2002,6,0.3994082840236686
2002,7,1.0
2002,8,0.4588446510759076
2002,9,0.8428285001711575
2002,10,0.5565906059697481
2002,11,0.9118974409839317
2002,12,0.6339274659374141
2002,13,0.7525551020408163
2002,14,1.0
2002,15,0.4469682979378269
2002,16,0.7630236706935981
2002,17,0.8563614744351961
2003,1,0.5557676280571919
2003,2,0.4500805517252233
2003,3,0.4176047446913471
2003,4,0.599319764135608
2003,5,0.4594343609044722
2003,6,0.679593263795816
2003,7,0.4650009914733294
2003,8,0.7218769398476887
2003,9,0.6301108678765623
2003,10,0.55677191206213
2003,11,0.7841724007561437
2003,12,0.9726080246913582
2003,13,0.9296748185971514
2003,14,0.7330558858501784
2003,15,0.4205325443786982
2003,16,0.4088860040019523
2003,17,0.8871810103710305
2004,1,0.598106740214522
2004,2,0.3145378129323622
2004,3,0.6651824970288932
2004,4,0.7353891548390228
2004,5,0.3261625708884688
2004,6,0.756637457098699
2004,7,0.7020663265306124
2004,8,0.7454551097524073
2004,9,0.9589408636744405
2004,10,0.6513579554558565
2004,11,0.3531583431376527
2004,12,0.4296875
2004,13,0.6674598453301607
2004,14,0.5465116279069766
2004,15,0.618087551871349
2004,16,0.4860313963319459
2004,17,0.6497765120050631
2005,1,0.5005187158868848
2005,2,0.3886898302655555
2005,3,0.5220212836274705
2005,4,0.7401580784387315
2005,5,0.6221924957061701
2005,6,0.6721196438752686
2005,7,0.9541881387020702
2005,8,0.6331736900839621
2005,9,0.7989243193207571
2005,10,0.6215997374563322
2005,11,0.391163324235592
2005,12,0.5471444705595068
2005,13,0.5630309033592628
2005,14,0.4564121945074325
2005,15,0.4286363154627625
2005,16,0.6223320938466692
2005,17,0.9863832274088686
2006,1,0.3971851562500001
2006,2,0.559088401799971
2006,3,0.8644781422032394
2006,4,0.5193022427910288
2006,5,0.5833425136419386
2006,6,0.8872018890200709
2006,7,0.7783246272413061
2006,8,0.6668824411886749
2006,9,0.6831769277167585
2006,10,0.6015689577758655
2006,11,0.4864870951758929
2006,12,0.8214506539833532
2006,13,0.8384631054976397
2006,14,0.8842975206611572
2006,15,0.5151437481310607
2006,16,0.4732565528928512
2006,17,0.7979355934413507
2007,1,0.6171075650297673
2007,2,0.9386018552059021
2007,3,0.7809587760003859
2007,4,0.4137666150535905
2007,5,0.6261584761123081
2007,6,0.9862603989320083
2007,7,0.9708046200393017
2007,8,0.7044306292146849
2007,9,0.4847587229441433
2007,10,0.598813366012279
2007,11,0.3444908973332021
2007,12,0.9235929665984041
2007,13,0.9493278691738194
2007,14,0.961789802289282
2007,15,0.9608074395452341
2007,16,0.4151813147952144
2007,17,0.7427668560930695
2008,1,0.6580367966531152
2008,2,0.570865538693562
2008,3,0.6560477532557757
2008,4,0.5062189552956258
2008,5,0.6289303506596678
2008,6,0.2349105568153187
2008,7,0.857543833218549
2008,8,0.6340639648741434
2008,9,0.6016920142794269
2008,10,0.6467386053350137
2008,11,0.6427808109793806
2008,12,0.9670422271464685
2008,13,0.6455060863896503
2008,14,1.0
2008,15,0.368608470024677
2008,16,0.4737179860443901
2008,17,0.9415344691191293
2009,1,0.6155973513915016
2009,2,0.5727132036276072
2009,3,0.4271079135460483
2009,4,0.5144091237968264
2009,5,0.5696124503925698
2009,6,0.740926118626431
2009,7,0.7488937862640108
2009,8,0.4965956403922919
2009,9,0.645047627579205
2009,10,0.6335731672580787
2009,11,0.4127598435332907
2009,12,0.8486911242603551
2009,13,0.6294456998210864
2009,14,0.6652751522789331
2009,15,0.3938989774631511
2009,16,0.4648710626999363
2009,17,0.8809816157868106
2010,1,0.4674689776783524
2010,2,0.4137681706151602
2010,3,0.3342280824813886
2010,4,0.7491188551173652
2010,5,0.4142568819023204
2010,6,0.4916580901208518
2010,7,0.5329207940031156
2010,8,0.5950071511912379
2010,9,0.69866980745769
2010,10,0.4784566864879326
2010,11,0.4348735056152639
2010,12,0.7001388888888889
2010,13,0.5275980981303754
2010,14,0.9363206508818427
2010,15,0.315763281500317
2010,16,0.3753638776937387
2010,17,0.7208506428616788
2011,1,0.6512034858304527
2011,2,0.3829865423781266
2011,3,0.4707672698062036
2011,4,0.6625412893920434
2011,5,0.5307940312518634
2011,6,0.8497668913395099
2011,7,0.8111330474421936
2011,8,0.4993263612647188
2011,9,0.4069690119184929
2011,10,0.6422327829350708
2011,11,0.3701195227714275
2011,12,0.5621806821553578
2011,13,0.5965018076626265
2011,14,0.8441358024691357
2011,15,0.3290562093805509
2011,16,0.5260274356568029
2011,17,0.7268050208505927
2012,1,0.8699056883773922
2012,2,0.7760292319375006
2012,3,0.6564309100662109
2012,4,0.8080860382589921
2012,5,0.9133631543698885
2012,6,0.7800238186338573
2012,7,0.5986668448661832
2012,8,0.8235038684341358
2012,9,0.8553977939504174
2012,10,0.8490741025043409
2012,11,0.5817059615113589
2012,12,0.4748533162614801
2012,13,0.8034998763186554
2012,14,0.9515270156988264
2012,15,0.2978607927693762
2012,16,0.7548455571071992
2012,17,0.78042700304407
2013,1,0.6549997877111791
2013,2,0.483837976436662
2013,3,0.523550453952831
2013,4,0.675875774302424
2013,5,0.6128827510076935
2013,6,0.7136074531935861
2013,7,0.6102505288446798
2013,8,0.6484894440090583
2013,9,0.481554508228386
2013,10,0.581594508978115
2013,11,0.4714548102826491
2013,12,0.4854575996074212
2013,13,0.6284106597595787
2013,14,0.5484764542936289
2013,15,0.4972493928537884
2013,16,0.5644639198643283
2013,17,0.912599708399372
2014,1,0.772058330613294
2014,2,0.775796854356637
2014,3,0.3859214632972222
2014,4,0.5512223185917078
2014,5,0.5860518670330167
2014,6,0.9094887905568892
2014,7,0.8902482818811825
2014,8,0.4934603643039889
2014,9,0.5474662963697681
2014,10,0.4599447289143529
2014,11,0.9218966039305895
2014,12,0.6142099234069316
2014,13,0.8454200947169813
2014,14,0.9857655473367051
2014,15,0.2485612229483112
2014,16,0.3330119449354544
2014,17,0.7664204535281819
2015,1,0.6916358207376351
2015,2,0.5427654411089222
2015,3,0.5400365801052165
2015,4,0.3877792143647533
2015,5,0.5568990930441939
2015,6,0.421399416909621
2015,7,0.4099433988145783
2015,8,0.4861182736286787
2015,9,0.7350619338729609
2015,10,0.5784283821444596
2015,11,0.5027249062890463
2015,12,0.2972335171082406
2015,13,0.580267981248477
2015,14,0.3254451679152373
2015,15,0.5382994126691243
2015,16,0.319967805688347
2015,17,0.7927772008768894
2016,1,0.4311993801676825
2016,2,0.4696029089778296
2016,3,0.4061618284418563
2016,4,0.5488562308221914
2016,5,0.3993448228688018
2016,6,0.7361770723541445
2016,7,0.5973748357339792
2016,8,0.4915170430631092
2016,9,0.4165450577060954
2016,10,0.4698148330839854
2016,11,0.4257543915130064
2016,12,0.7097383603968104
2016,13,0.5730006799602917
2016,14,0.790493079584775
2016,15,0.6945326056393706
2016,16,0.3790605871056242
2016,17,0.6445468630278128
2017,1,0.4480975289705932
2017,2,0.4291181676592808
2017,3,0.3069214947472323
2017,4,0.5483800451810499
2017,5,0.3993911623600707
2017,6,0.7326508063519637
2017,7,0.486921804599325
2017,8,0.4462183919803612
2017,9,0.3122284142646368
2017,10,0.4238725139450488
2017,11,0.3510204081632652
2017,12,0.7682576326753637
2017,13,0.369778378271605
2017,14,0.4195032847300112
2017,15,0.5434644852110742
2017,16,0.4753330324803614
2017,17,0.3851280476558106
2018,1,0.5982397359404364
2018,2,0.3935516559565002
2018,3,0.3556906957726725
2018,4,0.5675825492794913
2018,5,0.5197370756624011
2018,6,0.4102649230902475
2018,7,0.6100310137045165
2018,8,0.4434417826676881
2018,9,0.3980756581212744
2018,10,0.6306261922571896
2018,11,0.3527532817713109
2018,12,0.6454093152516208
2018,13,0.6164971892306611
2018,14,0.5238342046751998
2018,15,0.410533887572999
2018,16,0.3679477048532611
2018,17,0.5460964460062284
2019,1,0.5023229003993882
2019,2,0.6679780416964664
2019,3,0.507926030758553
2019,4,0.5604277294198664
2019,5,0.4257497263239629
2019,6,0.5772954376616376
2019,7,0.4105940192648555
2019,8,0.4254508782679738
2019,9,0.3960135169979203
2019,10,0.4803384983054501
2019,11,0.3760684918813573
2019,12,0.3607578947368421
2019,13,0.4138483321443035
2019,14,0.3248670590311615
2019,15,0.7580211436303271
2019,16,0.2970668824569987
2019,17,0.5229675874304079
2020,1,0.4570763653669977
2020,2,0.5132231821627881
2020,3,0.3237706552694111
2020,4,0.4414047985801225
2020,5,0.3048966395637039
2020,6,0.6704812653981654
2020,7,0.4886151165246389
2020,8,0.3903869716150113
2020,9,0.3383411691394955
2020,10,0.4669125402934071
2020,11,0.2976437883516761
2020,12,0.4385985973140541
2020,13,0.4130620605325179
2020,14,0.7340843336411204
2020,15,0.5104761046799693
2020,16,0.3282989900872462
2020,17,0.4129658207590308
2021,1,0.2691275640809542
2021,2,0.5408847677021
2021,3,0.3437188122561667
2021,4,0.4536648295629424
2021,5,0.370178901030636
2021,6,0.3644032368837528
2021,7,0.5624114234032282
2021,8,0.2665180479892734
2021,9,0.2489687454777394
2021,10,0.2799972345194195
2021,11,0.6650126785261922
2021,12,0.2787634041390615
2021,13,0.49516495916627
2021,14,0.655694258472282
2021,15,0.2051059936087991
2021,16,0.2658302328289644
2021,17,0.268311702184479
2022,1,0.4755266475371174
2022,2,0.3546370862084026
2022,3,0.3407438709428776
2022,4,0.2291574246591548
2022,5,0.3665617043422123
2022,6,0.5575487192628917
2022,7,0.3368273806864942
2022,8,0.3251274230541503
2022,9,0.2527537377087329
2022,10,0.2789496285854822
2022,11,0.2659955072149844
2022,12,0.3104078504774305
2022,13,0.4525569310440725
2022,14,0.3624063175896585
2022,15,0.8575792295608223
2022,16,0.2054937666772754
2022,17,0.2640721214271373
2023,1,0.3314391164346343
2023,2,0.2403581864454708
2023,3,0.3585127091502758
2023,4,0.3253285693766159
2023,5,0.5862281293123801
2023,6,0.4611327188449038
2023,7,0.3428049097058189
2023,8,0.3576874649237728
2023,9,0.2327309837926451
2023,10,0.2820770956179905
2023,11,0.2301249709665494
2023,12,0.418493323255228
2023,13,0.2223883094482547
2023,14,0.3698765432098765
2023,15,0.4221893275740736
2023,16,0.2225796255943637
2023,17,0.3853717988879317
2024,1,0.3982371743665138
2024,2,0.2931660893049836
2024,3,0.3535106648463763
2024,4,0.2647660425811461
2024,5,0.4395748374900122
2024,6,0.2844206490845396
2024,7,0.2203667178026152
2024,8,0.3323420632481868
2024,9,0.3171973150612376
2024,10,0.3264418521477407
2024,11,0.15803565330237
2024,12,0.3224193561629215
2024,13,0.3505139842963249
2024,14,0.5868444444444446
2024,15,0.2445356840961236
2024,16,0.2808481390804339
2024,17,0.755598903312664
