country,mean_old_age_dependency_ratio,mean_ageing_energy_index,group
Qatar,1.4555867979841342,0.63193339407444,developing
United Arab Emirates,1.9216599054392762,0.5962139517068863,developing
Zambia,3.3279298447055092,0.4886311733474334,developing
Oman,3.6372512007941316,0.47712158039212227,developing
Saudi Arabia,3.8690655372225655,0.5461015452941259,developing
Bahrain,4.04855019433113,0.4750786672035853,developing
Uganda,4.280617791172133,0.5313251902005602,developing
Burundi,4.382038820357426,0.640364408493042,developing
Kenya,4.392310135650706,0.6124659104411982,developing
Afghanistan,4.616309322667895,0.5338102727008045,developing
Papua New Guinea,4.892228304892207,0.3735458561115795,developing
Gambia,4.990183673882263,0.5661823391914368,developing
Somalia,5.012405830284038,0.6328670340871054,developing
South Sudan,5.119186680741706,0.6396820147832235,developing
Tajikistan,5.155820088167328,0.6056606392893525,developing
Sudan,5.185650048879922,0.4373732089996338,developing
Cameroon,5.232160749230414,0.2927953567769792,developing
Angola,5.2575636005337865,0.39936956266562146,developing
Marshall Islands,5.274830559596891,0.5016592800617218,developing
Mozambique,5.336737399207047,0.6701797631879648,developing
Malawi,5.385664232557506,0.6086819447393035,developing
Mali,5.406892752162443,0.7704242467880249,developing
Ethiopia,5.4432449118451265,0.4600267809181995,developing
Togo,5.554961122169459,0.7553806900978088,developing
Nigeria,5.587241932842084,0.5079115610431741,developing
Benin,5.602430254377149,0.26768648624420166,developing
Sierra Leone,5.682516042184125,0.513031506496999,developing
Iraq,5.711579698821975,0.5940372169017791,developing
Maldives,5.723283942181002,0.623025285762532,developing
Rwanda,5.725471908327512,0.570226851517077,developing
Eswatini,5.81353555908228,0.532401281349834,developing
Ghana,5.880838815630824,0.5940214845207767,developing
Liberia,5.893905213237865,0.45374598118166126,developing
Namibia,5.923080124949881,0.7130961490174135,developing
Botswana,6.006968996958404,0.6536003847089078,developing
Mongolia,6.073755559477595,0.4451501342383298,developing
Solomon Islands,6.238395934172377,0.46333346736651876,developing
Kiribati,6.250300467087343,0.6490856604443656,developing
Jordan,6.257280721123695,0.6651018559932709,developing
Lesotho,6.3624390885346,0.7149427123367786,developing
Senegal,6.369193667865543,0.4848495626339206,developing
Guinea,6.385501250599543,0.0,developing
Philippines,6.417807775494747,0.6190678259887833,developing
Zimbabwe,6.432572767054691,0.4678587348372848,developing
Belize,6.637179122415793,0.5016709501544635,developing
Pakistan,6.6955396649283445,0.5727280164344443,developing
Vanuatu,6.956670062485136,0.6566970124840736,developing
Egypt,7.063364726839445,0.6159755586834884,developing
Cambodia,7.229604211604209,0.5379791239940981,developing
Haiti,7.2373916663064355,0.7704242467880249,developing
Guatemala,7.363323298688974,0.7225329130887985,developing
Nicaragua,7.9713216318894675,0.7704242467880249,developing
Bangladesh,8.074195971114458,0.6730831272545315,developing
Kyrgyzstan,8.35507079951255,0.828041950861613,developing
Bhutan,8.364199730914033,0.5747690400729577,developing
South Africa,8.38678117325856,0.5922408771058101,developing
Fiji,8.404547944553245,0.6895855148607979,developing
Guyana,8.420488860317741,0.6251692456376349,developing
India,8.474545471640551,0.5565243184195959,developing
Uzbekistan,8.641504931390381,0.6961782698829969,developing
Malaysia,8.67534937463027,0.5363408548854015,developing
Nepal,8.929012885134355,0.5340460091293637,developing
Morocco,8.943755873314855,0.584520433511999,developing
Paraguay,8.966660830866774,0.5343400438626608,developing
Azerbaijan,9.115426370994076,0.3177478164434433,developing
Samoa,9.191013189218909,0.5133270055819781,developing
Indonesia,9.348306545623489,0.6131231048235707,developing
Myanmar,9.464232561716416,0.6901868482430776,developing
Jamaica,9.689538512620414,0.6705886653116929,developing
Micronesia,10.093857002750624,0.7992048231263955,developing
Mexico,10.542565709430061,0.6436285347456023,developing
Tonga,10.676217147145161,0.6385797209761761,developing
Suriname,10.679500646494407,0.6931026056408882,developing
Colombia,10.731720389295955,0.5254511990149816,developing
Seychelles,10.743583336048303,0.5715488567948341,developing
Trinidad and Tobago,10.860883403955217,0.6471061963801388,developing
El Salvador,11.201989317639125,0.5899367928504944,developing
Brazil,11.579797457520488,0.5340198452262178,developing
Singapore,11.750619744936685,0.5376049933303341,developed
Peru,11.988134188142954,0.6044056713581085,developing
Tunisia,12.033625586201516,0.6114127710461617,developing
Lebanon,12.70284112884947,0.508272676087088,developing
Palau,13.350363340996756,0.6001669247117308,developing
Sri Lanka,13.468993029719977,0.5754995700965325,developing
Mauritius,13.53004952821428,0.497231213858834,developing
Panama,13.791892757273676,0.8325958847999573,developing
Costa Rica,14.894478586298789,0.5736044396956762,developing
Bahamas,15.113504411846556,0.6158614845187577,developing
China,15.634036331443644,0.601896960921221,developing
Thailand,15.841552175624008,0.38353021380801994,developing
Armenia,16.669487959057474,0.4946992099285126,developing
Argentina,17.061918659857046,0.5683544526497523,developing
Chile,17.132029471405634,0.44179670326411724,developing
Cyprus,17.81464491581439,0.6285256603289219,developed
Ireland,18.66638604141154,0.6037200834214208,developed
Israel,18.83706076866844,0.6628422935803732,developed
North Macedonia,20.103164267000686,0.43310194072269254,developing
USA,20.406201220486842,0.6076021042358187,developed
Luxembourg,20.675176083886733,0.4962305307151779,developed
New Zealand,20.826981270707037,0.5345065797603362,developed
Australia,20.882314718659146,0.6133598092473191,developed
Canada,21.192525408085768,0.597996369579098,developed
Iceland,21.36798114878151,0.548055786639452,developed
Albania,22.290299817051494,0.42828792333602905,developing
Barbados,22.35332936711443,0.5596914509932199,developing
Slovakia,22.45468300453729,0.5715331525183641,developed
Georgia,22.771483504839054,0.5004055952584302,developing
Belarus,22.942091291954135,0.3346081078052521,developing
Uruguay,23.1745977355676,0.6129844500904992,developing
Ukraine,23.266067467341777,0.39664001663525894,developing
Montenegro,24.04980650917888,0.428437661131223,developing
Netherlands,24.4173930003135,0.35407687852292646,developed
Norway,24.46834955800519,0.5045276257139173,developed
Switzerland,25.924239246028026,0.5855844536930997,developed
UK,26.0233837907911,0.5916721902584345,developed
Poland,26.41573213094778,0.46656948799496945,developed
Spain,26.68323933832411,0.5575273302063859,developed
Austria,26.87369418519504,0.4877581785382084,developed
Hungary,26.89374555715952,0.520384586588652,developed
Romania,27.112495288789,0.5367998959053131,developing
Slovenia,27.52127864399412,0.4660855783908456,developed
Malta,27.549151017871996,0.5559126734733582,developed
Belgium,27.628962458180915,0.47020686117272487,developed
San Marino,27.90767305300141,0.5670419782400131,developed
France,28.333410470627946,0.5145997590801261,developed
Estonia,28.847670020939965,0.5355396799277514,developed
Bosnia and Herzegovina,29.05631186422136,0.46907589584589005,developing
Denmark,29.13099983868051,0.3649063516020154,developed
Sweden,29.360740348173803,0.4513574491284275,developed
Latvia,29.378044476752194,0.5656103863442937,developed
Croatia,29.71481655888777,0.5929005748281876,developed
Finland,29.72233381374775,0.5260175606704217,developed
Lithuania,29.855202957412565,0.37655174173414707,developed
Germany,30.735864569058513,0.4608693238401338,developed
Serbia,30.762053860956776,0.4486540298288067,developing
Bulgaria,31.465917522920915,0.25383923782242673,developing
Portugal,31.592299929874606,0.5430500528630283,developed
Greece,33.20372631269156,0.37335180590550104,developed
Italy,33.62667620760954,0.4829763727302038,developed
Japan,39.40952707334167,0.5331617996741539,developed
Monaco,66.29918459623543,0.6587670221924782,developed
