Country,category,term_frequency,TopicShare,TopicShare_pct
Cambodia,Health and vulnerability,1,0.0035971223021582,0.36
Cambodia,Household behaviour and adoption,5,0.0179856115107913,1.799
Cambodia,Housing and thermal comfort,10,0.0359712230215827,3.597
Cambodia,Welfare and care,12,0.0431654676258992,4.317
Cameroon,Governance and planning,133,0.8986486486486487,89.865
Cameroon,Health and vulnerability,8,0.054054054054054,5.405
Cameroon,Household behaviour and adoption,1,0.0067567567567567,0.676
Cameroon,Housing and thermal comfort,1,0.0067567567567567,0.676
Cameroon,Welfare and care,5,0.0337837837837837,3.378
Canada,Affordability and income constraints,460,0.0195287624708129,1.953
Canada,Energy transition and efficiency,305,0.0129484185947781,1.295
Canada,Governance and planning,18542,0.7871789428995967,78.718
Canada,Health and vulnerability,1094,0.0464444916153682,4.644
Canada,Household behaviour and adoption,378,0.0160475482912332,1.605
Canada,Housing and thermal comfort,1505,0.0638930163447251,6.389
Canada,Welfare and care,1271,0.0539588197834854,5.396
Cape Verde,Governance and planning,28,0.8,80.0
Cape Verde,Health and vulnerability,2,0.0571428571428571,5.714
Cape Verde,Housing and thermal comfort,2,0.0571428571428571,5.714
Cape Verde,Welfare and care,3,0.0857142857142857,8.571
Chile,Governance and planning,124,0.9253731343283582,92.537
Chile,Household behaviour and adoption,2,0.0149253731343283,1.493
Chile,Housing and thermal comfort,1,0.0074626865671641,0.746
Chile,Welfare and care,7,0.0522388059701492,5.224
China,Affordability and income constraints,2,0.0023174971031286,0.232
China,Energy transition and efficiency,12,0.0139049826187717,1.39
China,Governance and planning,724,0.8389339513325609,83.893
China,Health and vulnerability,6,0.0069524913093858,0.695
China,Household behaviour and adoption,29,0.033603707995365,3.36
China,Housing and thermal comfort,22,0.0254924681344148,2.549
China,Welfare and care,68,0.0787949015063731,7.879
Colombia,Energy transition and efficiency,1,0.0085470085470085,0.855
Colombia,Governance and planning,103,0.8803418803418803,88.034
Colombia,Health and vulnerability,2,0.017094017094017,1.709
Colombia,Household behaviour and adoption,1,0.0085470085470085,0.855
Colombia,Housing and thermal comfort,6,0.0512820512820512,5.128
Colombia,Welfare and care,4,0.0341880341880341,3.419
Costa Rica,Energy transition and efficiency,1,0.0769230769230769,7.692
Costa Rica,Governance and planning,12,0.9230769230769232,92.308
