Country,category,term_frequency,TopicShare,TopicShare_pct
Nepal,Health and vulnerability,29,0.092063492063492,9.206
Nepal,Household behaviour and adoption,3,0.0095238095238095,0.952
Nepal,Housing and thermal comfort,9,0.0285714285714285,2.857
Nepal,Welfare and care,11,0.0349206349206349,3.492
Netherlands,Affordability and income constraints,31,0.0119047619047619,1.19
Netherlands,Energy transition and efficiency,40,0.0153609831029185,1.536
Netherlands,Governance and planning,2202,0.8456221198156681,84.562
Netherlands,Health and vulnerability,54,0.02073732718894,2.074
Netherlands,Household behaviour and adoption,77,0.0295698924731182,2.957
Netherlands,Housing and thermal comfort,60,0.0230414746543778,2.304
Netherlands,Welfare and care,140,0.053763440860215,5.376
New Zealand,Affordability and income constraints,80,0.014099400775467,1.41
New Zealand,Energy transition and efficiency,124,0.0218540712019739,2.185
New Zealand,Governance and planning,4692,0.8269298554811421,82.693
New Zealand,Health and vulnerability,196,0.0345435318998942,3.454
New Zealand,Household behaviour and adoption,78,0.0137469157560803,1.375
New Zealand,Housing and thermal comfort,256,0.0451180824814945,4.512
New Zealand,Welfare and care,248,0.0437081424039478,4.371
Nicaragua,Governance and planning,3,0.6,60.0
Nicaragua,Welfare and care,2,0.4,40.0
Nigeria,Affordability and income constraints,4,0.0129870129870129,1.299
Nigeria,Energy transition and efficiency,1,0.0032467532467532,0.325
Nigeria,Governance and planning,237,0.7694805194805194,76.948
Nigeria,Health and vulnerability,30,0.0974025974025974,9.74
Nigeria,Household behaviour and adoption,10,0.0324675324675324,3.247
Nigeria,Housing and thermal comfort,7,0.0227272727272727,2.273
Nigeria,Welfare and care,19,0.0616883116883116,6.169
North Korea,Governance and planning,1,1.0,100.0
North Macedonia,Energy transition and efficiency,2,0.0131578947368421,1.316
North Macedonia,Governance and planning,144,0.9473684210526316,94.737
North Macedonia,Welfare and care,6,0.0394736842105263,3.947
Norway,Affordability and income constraints,16,0.0091638029782359,0.916
Norway,Energy transition and efficiency,31,0.0177548682703321,1.775
Norway,Governance and planning,1439,0.8241695303550973,82.417
Norway,Health and vulnerability,71,0.0406643757159221,4.066
Norway,Household behaviour and adoption,35,0.0200458190148911,2.005
Norway,Housing and thermal comfort,81,0.0463917525773195,4.639
Norway,Welfare and care,73,0.0418098510882016,4.181
Oman,Energy transition and efficiency,1,0.0172413793103448,1.724
Oman,Governance and planning,28,0.4827586206896552,48.276
Oman,Health and vulnerability,24,0.4137931034482758,41.379
Oman,Welfare and care,5,0.0862068965517241,8.621
Pakistan,Affordability and income constraints,35,0.0671785028790787,6.718
Pakistan,Energy transition and efficiency,4,0.0076775431861804,0.768
Pakistan,Governance and planning,422,0.8099808061420346,80.998
Pakistan,Health and vulnerability,13,0.0249520153550863,2.495
Pakistan,Household behaviour and adoption,5,0.0095969289827255,0.96
Pakistan,Housing and thermal comfort,6,0.0115163147792706,1.152
Pakistan,Welfare and care,36,0.0690978886756238,6.91
Palau,Affordability and income constraints,1,0.0222222222222222,2.222
Palau,Governance and planning,38,0.8444444444444444,84.444
Palau,Housing and thermal comfort,4,0.0888888888888888,8.889
Palau,Welfare and care,2,0.0444444444444444,4.444
Palestine,Affordability and income constraints,1,0.2,20.0
Palestine,Energy transition and efficiency,2,0.4,40.0
Palestine,Governance and planning,2,0.4,40.0
Panama,Governance and planning,4,1.0,100.0
Papua New Guinea,Energy transition and efficiency,1,0.0036496350364963,0.365
Papua New Guinea,Governance and planning,194,0.708029197080292,70.803
Papua New Guinea,Health and vulnerability,17,0.0620437956204379,6.204
Papua New Guinea,Household behaviour and adoption,12,0.0437956204379562,4.38
Papua New Guinea,Housing and thermal comfort,8,0.0291970802919708,2.92
Papua New Guinea,Welfare and care,42,0.1532846715328467,15.328
Paraguay,Governance and planning,8,0.8,80.0
Paraguay,Welfare and care,2,0.2,20.0
Peru,Affordability and income constraints,17,0.0661478599221789,6.615
Peru,Governance and planning,205,0.7976653696498055,79.767
Peru,Health and vulnerability,5,0.0194552529182879,1.946
Peru,Household behaviour and adoption,4,0.0155642023346303,1.556
Peru,Housing and thermal comfort,8,0.0311284046692607,3.113
Peru,Welfare and care,18,0.0700389105058365,7.004
Philippines,Affordability and income constraints,8,0.0060195635816403,0.602
Philippines,Energy transition and efficiency,25,0.018811136192626,1.881
Philippines,Governance and planning,1089,0.8194130925507901,81.941
Philippines,Health and vulnerability,71,0.0534236267870579,5.342
Philippines,Household behaviour and adoption,25,0.018811136192626,1.881
Philippines,Housing and thermal comfort,24,0.0180586907449209,1.806
Philippines,Welfare and care,87,0.0654627539503386,6.546
Poland,Affordability and income constraints,5,0.0068306010928961,0.683
Poland,Energy transition and efficiency,59,0.0806010928961748,8.06
Poland,Governance and planning,601,0.8210382513661202,82.104
Poland,Health and vulnerability,29,0.0396174863387978,3.962
Poland,Household behaviour and adoption,8,0.0109289617486338,1.093
Poland,Housing and thermal comfort,5,0.0068306010928961,0.683
Poland,Welfare and care,25,0.0341530054644808,3.415
Portugal,Affordability and income constraints,2,0.0035087719298245,0.351
Portugal,Energy transition and efficiency,12,0.0210526315789473,2.105
Portugal,Governance and planning,463,0.8122807017543859,81.228
Portugal,Health and vulnerability,33,0.0578947368421052,5.789
Portugal,Household behaviour and adoption,12,0.0210526315789473,2.105
Portugal,Housing and thermal comfort,11,0.019298245614035,1.93
Portugal,Welfare and care,37,0.0649122807017543,6.491
Qatar,Governance and planning,46,0.8846153846153846,88.462
Qatar,Household behaviour and adoption,2,0.0384615384615384,3.846
Qatar,Housing and thermal comfort,4,0.0769230769230769,7.692
Romania,Affordability and income constraints,2,0.0087719298245614,0.877
Romania,Energy transition and efficiency,3,0.0131578947368421,1.316
Romania,Governance and planning,216,0.9473684210526316,94.737
Romania,Household behaviour and adoption,3,0.0131578947368421,1.316
Romania,Housing and thermal comfort,3,0.0131578947368421,1.316
Romania,Welfare and care,1,0.0043859649122807,0.439
Russia,Affordability and income constraints,2,0.0434782608695652,4.348
Russia,Energy transition and efficiency,1,0.0217391304347826,2.174
Russia,Governance and planning,41,0.8913043478260869,89.13
Russia,Housing and thermal comfort,1,0.0217391304347826,2.174
Russia,Welfare and care,1,0.0217391304347826,2.174
Rwanda,Affordability and income constraints,1,0.0028248587570621,0.282
Rwanda,Energy transition and efficiency,8,0.0225988700564971,2.26
Rwanda,Governance and planning,298,0.8418079096045198,84.181
Rwanda,Health and vulnerability,26,0.0734463276836158,7.345
Rwanda,Household behaviour and adoption,2,0.0056497175141242,0.565
Rwanda,Housing and thermal comfort,8,0.0225988700564971,2.26
Rwanda,Welfare and care,11,0.0310734463276836,3.107
Samoa,Energy transition and efficiency,1,0.0056497175141242,0.565
Samoa,Governance and planning,159,0.8983050847457628,89.831
Samoa,Health and vulnerability,6,0.0338983050847457,3.39
Samoa,Household behaviour and adoption,3,0.0169491525423728,1.695
Samoa,Housing and thermal comfort,5,0.0282485875706214,2.825
Samoa,Welfare and care,3,0.0169491525423728,1.695
San Marino,Governance and planning,8,0.8,80.0
San Marino,Household behaviour and adoption,2,0.2,20.0
Saudi Arabia,Governance and planning,30,0.7692307692307693,76.923
Saudi Arabia,Health and vulnerability,4,0.1025641025641025,10.256
Saudi Arabia,Household behaviour and adoption,2,0.0512820512820512,5.128
Saudi Arabia,Welfare and care,3,0.0769230769230769,7.692
Senegal,Governance and planning,35,0.945945945945946,94.595
Senegal,Welfare and care,2,0.054054054054054,5.405
Serbia,Energy transition and efficiency,1,0.0063291139240506,0.633
Serbia,Governance and planning,144,0.9113924050632912,91.139
Serbia,Household behaviour and adoption,2,0.0126582278481012,1.266
Serbia,Housing and thermal comfort,6,0.0379746835443038,3.797
Serbia,Welfare and care,5,0.0316455696202531,3.165
Seychelles,Governance and planning,46,0.6666666666666666,66.667
Seychelles,Health and vulnerability,18,0.2608695652173913,26.087
Seychelles,Household behaviour and adoption,2,0.0289855072463768,2.899
Seychelles,Welfare and care,3,0.0434782608695652,4.348
Sierra Leone,Affordability and income constraints,3,0.0208333333333333,2.083
Sierra Leone,Energy transition and efficiency,3,0.0208333333333333,2.083
Sierra Leone,Governance and planning,130,0.9027777777777778,90.278
Sierra Leone,Health and vulnerability,1,0.0069444444444444,0.694
Sierra Leone,Household behaviour and adoption,1,0.0069444444444444,0.694
Sierra Leone,Housing and thermal comfort,4,0.0277777777777777,2.778
Sierra Leone,Welfare and care,2,0.0138888888888888,1.389
Singapore,Affordability and income constraints,10,0.0057110222729868,0.571
Singapore,Energy transition and efficiency,64,0.0365505425471159,3.655
Singapore,Governance and planning,1498,0.8555111364934324,85.551
Singapore,Health and vulnerability,16,0.0091376356367789,0.914
Singapore,Household behaviour and adoption,26,0.0148486579097658,1.485
Singapore,Housing and thermal comfort,51,0.029126213592233,2.913
Singapore,Welfare and care,86,0.049114791547687,4.911
Slovakia,Affordability and income constraints,3,0.0142180094786729,1.422
Slovakia,Energy transition and efficiency,4,0.0189573459715639,1.896
Slovakia,Governance and planning,170,0.8056872037914692,80.569
Slovakia,Health and vulnerability,6,0.0284360189573459,2.844
Slovakia,Household behaviour and adoption,2,0.0094786729857819,0.948
Slovakia,Housing and thermal comfort,14,0.0663507109004739,6.635
Slovakia,Welfare and care,12,0.0568720379146919,5.687
Slovenia,Affordability and income constraints,1,0.0036496350364963,0.365
Slovenia,Energy transition and efficiency,4,0.0145985401459854,1.46
Slovenia,Governance and planning,244,0.8905109489051095,89.051
Slovenia,Health and vulnerability,11,0.0401459854014598,4.015
Slovenia,Household behaviour and adoption,2,0.0072992700729927,0.73
Slovenia,Housing and thermal comfort,6,0.0218978102189781,2.19
Slovenia,Welfare and care,6,0.0218978102189781,2.19
Solomon Islands,Governance and planning,117,0.9,90.0
Solomon Islands,Household behaviour and adoption,1,0.0076923076923076,0.769
Solomon Islands,Housing and thermal comfort,7,0.0538461538461538,5.385
Solomon Islands,Welfare and care,5,0.0384615384615384,3.846
Somalia,Governance and planning,159,0.7607655502392344,76.077
Somalia,Health and vulnerability,17,0.0813397129186602,8.134
Somalia,Housing and thermal comfort,9,0.0430622009569378,4.306
Somalia,Welfare and care,24,0.1148325358851674,11.483
South Africa,Affordability and income constraints,53,0.0059597436185764,0.596
South Africa,Energy transition and efficiency,73,0.0082087034746429,0.821
South Africa,Governance and planning,7809,0.878106375801192,87.811
South Africa,Health and vulnerability,297,0.0333970538625885,3.34
South Africa,Household behaviour and adoption,71,0.0079838074890363,0.798
South Africa,Housing and thermal comfort,217,0.0244012144383222,2.44
South Africa,Welfare and care,373,0.0419431013156415,4.194
South Korea,Affordability and income constraints,11,0.0097259062776304,0.973
South Korea,Energy transition and efficiency,25,0.02210433244916,2.21
South Korea,Governance and planning,927,0.8196286472148541,81.963
South Korea,Health and vulnerability,33,0.0291777188328912,2.918
South Korea,Household behaviour and adoption,10,0.008841732979664,0.884
South Korea,Housing and thermal comfort,36,0.0318302387267904,3.183
South Korea,Welfare and care,89,0.0786914235190097,7.869
South Sudan,Governance and planning,34,0.8292682926829268,82.927
South Sudan,Health and vulnerability,2,0.048780487804878,4.878
South Sudan,Housing and thermal comfort,3,0.073170731707317,7.317
South Sudan,Welfare and care,2,0.048780487804878,4.878
Spain,Affordability and income constraints,26,0.0124580737901293,1.246
Spain,Energy transition and efficiency,59,0.0282702443699089,2.827
Spain,Governance and planning,1719,0.8236703402012459,82.367
Spain,Health and vulnerability,68,0.0325826545280306,3.258
Spain,Household behaviour and adoption,35,0.016770483948251,1.677
Spain,Housing and thermal comfort,74,0.0354575946334451,3.546
Spain,Welfare and care,106,0.0507906085289889,5.079
Sri Lanka,Affordability and income constraints,20,0.0284495021337126,2.845
Sri Lanka,Energy transition and efficiency,9,0.0128022759601706,1.28
Sri Lanka,Governance and planning,572,0.813655761024182,81.366
Sri Lanka,Health and vulnerability,47,0.0668563300142247,6.686
Sri Lanka,Household behaviour and adoption,10,0.0142247510668563,1.422
Sri Lanka,Housing and thermal comfort,3,0.0042674253200568,0.427
Sri Lanka,Welfare and care,42,0.0597439544807965,5.974
Sudan,Governance and planning,11,0.6470588235294118,64.706
Sudan,Health and vulnerability,4,0.2352941176470588,23.529
Sudan,Housing and thermal comfort,1,0.0588235294117647,5.882
Sudan,Welfare and care,1,0.0588235294117647,5.882
Suriname,Governance and planning,28,0.9333333333333332,93.333
Suriname,Welfare and care,2,0.0666666666666666,6.667
Sweden,Affordability and income constraints,43,0.016337386018237,1.634
Sweden,Energy transition and efficiency,65,0.0246960486322188,2.47
Sweden,Governance and planning,2230,0.8472644376899696,84.726
Sweden,Health and vulnerability,74,0.0281155015197568,2.812
Sweden,Household behaviour and adoption,56,0.0212765957446808,2.128
Sweden,Housing and thermal comfort,73,0.0277355623100303,2.774
Sweden,Welfare and care,91,0.0345744680851063,3.457
Switzerland,Affordability and income constraints,17,0.0077519379844961,0.775
Switzerland,Energy transition and efficiency,21,0.0095759233926128,0.958
Switzerland,Governance and planning,1848,0.8426812585499316,84.268
Switzerland,Health and vulnerability,101,0.0460556315549475,4.606
Switzerland,Household behaviour and adoption,41,0.0186958504331965,1.87
Switzerland,Housing and thermal comfort,47,0.0214318285453716,2.143
Switzerland,Welfare and care,118,0.0538075695394436,5.381
Taiwan,Energy transition and efficiency,3,0.0141509433962264,1.415
Taiwan,Governance and planning,173,0.8160377358490566,81.604
Taiwan,Health and vulnerability,8,0.0377358490566037,3.774
Taiwan,Household behaviour and adoption,9,0.0424528301886792,4.245
Taiwan,Welfare and care,19,0.0896226415094339,8.962
Tajikistan,Governance and planning,39,0.8666666666666667,86.667
Tajikistan,Health and vulnerability,4,0.0888888888888888,8.889
Tajikistan,Housing and thermal comfort,2,0.0444444444444444,4.444
Tanzania,Affordability and income constraints,14,0.0060396893874029,0.604
Tanzania,Energy transition and efficiency,9,0.0038826574633304,0.388
Tanzania,Governance and planning,2035,0.8779119930974978,87.791
Tanzania,Health and vulnerability,56,0.0241587575496117,2.416
Tanzania,Household behaviour and adoption,6,0.0025884383088869,0.259
Tanzania,Housing and thermal comfort,105,0.045297670405522,4.53
Tanzania,Welfare and care,93,0.040120793787748,4.012
Thailand,Energy transition and efficiency,3,0.0115830115830115,1.158
Thailand,Governance and planning,225,0.8687258687258688,86.873
Thailand,Health and vulnerability,13,0.0501930501930501,5.019
Thailand,Household behaviour and adoption,3,0.0115830115830115,1.158
Thailand,Housing and thermal comfort,6,0.0231660231660231,2.317
Thailand,Welfare and care,9,0.0347490347490347,3.475
Timor Leste,Governance and planning,80,0.9302325581395348,93.023
Timor Leste,Housing and thermal comfort,1,0.0116279069767441,1.163
Timor Leste,Welfare and care,5,0.0581395348837209,5.814
Togo,Governance and planning,19,0.8260869565217391,82.609
Togo,Welfare and care,4,0.1739130434782608,17.391
Tonga,Governance and planning,84,0.9333333333333332,93.333
Tonga,Health and vulnerability,2,0.0222222222222222,2.222
Tonga,Housing and thermal comfort,2,0.0222222222222222,2.222
Tonga,Welfare and care,2,0.0222222222222222,2.222
Trinidad and Tobago,Affordability and income constraints,3,0.0042492917847025,0.425
Trinidad and Tobago,Energy transition and efficiency,4,0.0056657223796034,0.567
Trinidad and Tobago,Governance and planning,605,0.8569405099150141,85.694
Trinidad and Tobago,Health and vulnerability,5,0.0070821529745042,0.708
Trinidad and Tobago,Household behaviour and adoption,7,0.0099150141643059,0.992
Trinidad and Tobago,Housing and thermal comfort,22,0.0311614730878186,3.116
Trinidad and Tobago,Welfare and care,60,0.0849858356940509,8.499
Tunisia,Governance and planning,11,1.0,100.0
Turkey,Affordability and income constraints,7,0.006398537477148,0.64
Turkey,Energy transition and efficiency,17,0.0155393053016453,1.554
Turkey,Governance and planning,975,0.8912248628884827,89.122
Turkey,Health and vulnerability,27,0.0246800731261425,2.468
Turkey,Household behaviour and adoption,15,0.0137111517367458,1.371
Turkey,Housing and thermal comfort,12,0.0109689213893967,1.097
Turkey,Welfare and care,41,0.0374771480804387,3.748
UK,Affordability and income constraints,1983,0.0230059748245257,2.301
UK,Energy transition and efficiency,1716,0.0199083473519345,1.991
UK,Governance and planning,68133,0.7904518823597656,79.045
UK,Health and vulnerability,2869,0.0332849933290794,3.328
UK,Household behaviour and adoption,1615,0.0187365856488195,1.874
UK,Housing and thermal comfort,3489,0.0404779859620627,4.048
UK,Welfare and care,6390,0.0741342305238122,7.413
USA,Affordability and income constraints,1643,0.0094825297519421,0.948
USA,Energy transition and efficiency,2758,0.0159177218842704,1.592
USA,Governance and planning,133803,0.7722403702976925,77.224
USA,Health and vulnerability,7779,0.0448962866344233,4.49
USA,Household behaviour and adoption,2851,0.0164544688513614,1.645
USA,Housing and thermal comfort,11960,0.0690268142624635,6.903
USA,Welfare and care,12472,0.0719818083178465,7.198
Uganda,Affordability and income constraints,16,0.0065952184666117,0.66
Uganda,Energy transition and efficiency,16,0.0065952184666117,0.66
Uganda,Governance and planning,1941,0.8000824402308326,80.008
Uganda,Health and vulnerability,183,0.0754328112118714,7.543
Uganda,Household behaviour and adoption,23,0.0094806265457543,0.948
Uganda,Housing and thermal comfort,71,0.0292662819455894,2.927
Uganda,Welfare and care,176,0.0725474031327287,7.255
Ukraine,Governance and planning,60,0.8695652173913043,86.957
Ukraine,Health and vulnerability,2,0.0289855072463768,2.899
Ukraine,Household behaviour and adoption,2,0.0289855072463768,2.899
Ukraine,Housing and thermal comfort,1,0.0144927536231884,1.449
Ukraine,Welfare and care,4,0.0579710144927536,5.797
United Arab Emirates,Governance and planning,87,0.9666666666666668,96.667
United Arab Emirates,Housing and thermal comfort,3,0.0333333333333333,3.333
Uruguay,Governance and planning,52,0.896551724137931,89.655
Uruguay,Health and vulnerability,2,0.0344827586206896,3.448
Uruguay,Household behaviour and adoption,1,0.0172413793103448,1.724
Uruguay,Housing and thermal comfort,2,0.0344827586206896,3.448
Uruguay,Welfare and care,1,0.0172413793103448,1.724
Uzbekistan,Governance and planning,16,0.9411764705882352,94.118
Uzbekistan,Housing and thermal comfort,1,0.0588235294117647,5.882
Vanuatu,Governance and planning,31,0.8857142857142857,88.571
Vanuatu,Housing and thermal comfort,4,0.1142857142857142,11.429
Venezuela,Affordability and income constraints,1,0.0070921985815602,0.709
Venezuela,Energy transition and efficiency,4,0.0283687943262411,2.837
Venezuela,Governance and planning,121,0.8581560283687943,85.816
Venezuela,Household behaviour and adoption,2,0.0141843971631205,1.418
Venezuela,Housing and thermal comfort,5,0.0354609929078014,3.546
Venezuela,Welfare and care,8,0.0567375886524822,5.674
Vietnam,Governance and planning,22,0.9565217391304348,95.652
Vietnam,Welfare and care,1,0.0434782608695652,4.348
Zambia,Energy transition and efficiency,1,0.006578947368421,0.658
Zambia,Governance and planning,130,0.8552631578947368,85.526
Zambia,Health and vulnerability,15,0.0986842105263157,9.868
Zambia,Household behaviour and adoption,1,0.006578947368421,0.658
Zambia,Housing and thermal comfort,3,0.0197368421052631,1.974
Zambia,Welfare and care,2,0.0131578947368421,1.316
Zimbabwe,Energy transition and efficiency,1,0.0074074074074074,0.741
Zimbabwe,Governance and planning,129,0.9555555555555556,95.556
Zimbabwe,Housing and thermal comfort,3,0.0222222222222222,2.222
Zimbabwe,Welfare and care,2,0.0148148148148148,1.481
