time_window,macro_share,mechanism_share,macro_count,mechanism_count,blind_spot_gap
1972_1976,0.7318573185731857,0.2681426814268142,595.0,218.0,0.4637146371463715
1977_1981,0.6130558183538315,0.38694418164616823,648.0,409.0,0.22611163670766327
1982_1986,0.611324376199616,0.3886756238003837,637.0,405.0,0.22264875239923232
1987_1991,0.5164938737040528,0.4835061262959471,548.0,513.0,0.03298774740810567
1992_1996,0.5653505786249149,0.434649421375085,1661.0,1277.0,0.1307011572498299
1997_2001,0.4855484033825571,0.5144515966174428,3847.0,4076.0,-0.02890319323488566
2002_2006,0.4642375959229102,0.5357624040770896,7925.0,9146.0,-0.07152480815417944
2007_2011,0.4320843828715364,0.5679156171284633,13723.0,18037.0,-0.1358312342569269
2012_2016,0.43482246631852917,0.5651775336814706,26562.0,34525.0,-0.13035506736294145
2017_2020,0.44656352276108296,0.5534364772389168,30018.0,37202.0,-0.10687295447783379
2021_2024,0.4672406648556563,0.5327593351443435,40592.0,46284.0,-0.06551867028868719
