year,sdg,doc_concentration_value
1988,9,
1988,10,0.625
1988,11,0.375
1988,12,1.0
1988,13,1.0
1988,14,1.0
1988,15,1.0
1988,16,0.3888888888888889
1988,17,1.0
1989,1,0.52
1989,2,1.0
1989,3,0.3888888888888889
1989,4,0.9722277325927395
1989,5,0.625
1989,6,1.0
1989,7,
1989,8,0.4375
1989,9,1.0
1989,10,0.6326530612244896
1989,11,0.625
1989,12,0.3333333333333333
1989,13,1.0
1989,14,
1989,15,0.28
1989,16,0.44
1989,17,0.8024691358024691
1990,1,0.5198487712665406
1990,2,1.0
1990,3,0.52
1990,4,0.9795940057391859
1990,5,0.375
1990,6,0.3333333333333333
1990,7,1.0
1990,8,0.492063492063492
1990,9,1.0
1990,10,0.6213017751479291
1990,11,0.5
1990,12,1.0
1990,13,1.0
1990,14,
1990,15,0.308641975308642
1990,16,0.726354453627181
1990,17,1.0
1991,1,0.2551020408163265
1991,2,0.78125
1991,3,0.607638888888889
1991,4,0.9357565511411665
1991,5,0.9049999999999999
1991,6,1.0
1991,7,
1991,8,0.5199999999999999
1991,9,1.0
1991,10,0.727810650887574
1991,11,0.625
1991,12,1.0
1991,13,0.625
1991,14,
1991,15,0.4027777777777778
1991,16,0.8231292517006804
1991,17,0.8347107438016528
1992,1,0.4722222222222222
1992,2,0.8579881656804735
1992,3,0.6115702479338844
1992,4,0.957766161171782
1992,5,0.8892733564013842
1992,6,0.5555555555555556
1992,7,1.0
1992,8,0.6851211072664359
1992,9,
1992,10,0.7420408163265306
1992,11,0.7705785123966942
1992,12,0.5555555555555556
1992,13,1.0
1992,14,
1992,15,0.3469387755102041
1992,16,0.68310322156476
1992,17,0.9049999999999999
1993,1,0.5605536332179931
1993,2,0.5644444444444444
1993,3,0.4814814814814815
1993,4,0.85875
1993,5,0.8116343490304709
1993,6,
1993,7,1.0
1993,8,0.7962962962962963
1993,9,1.0
1993,10,0.66
1993,11,0.4285714285714285
1993,12,0.3333333333333333
1993,13,1.0
1993,14,
1993,15,0.4
1993,16,0.8085564789165898
1993,17,1.0
1994,1,1.0
1994,2,0.3061224489795918
1994,3,0.3421550094517958
1994,4,0.5307574009996154
1994,5,0.576530612244898
1994,6,0.5
1994,7,1.0
1994,8,0.6989886972040451
1994,9,1.0
1994,10,0.515227893299727
1994,11,0.6213017751479291
1994,12,1.0
1994,13,0.5555555555555556
1994,14,1.0
1994,15,0.34
1994,16,0.5999471528603515
1994,17,0.9429065743944636
1995,1,0.6536000000000002
1995,2,0.3827160493827161
1995,3,0.6541950113378684
1995,4,0.9094635376784829
1995,5,0.7925014878000398
1995,6,1.0
1995,7,1.0
1995,8,0.7254901960784313
1995,9,0.9260355029585798
1995,10,0.7139674760525728
1995,11,0.6055363321799309
1995,12,1.0
1995,13,0.6800000000000002
1995,14,1.0
1995,15,0.3223140495867768
1995,16,0.8975584173416468
1995,17,0.9355555555555555
1996,1,0.3679825431462012
1996,2,0.7655954631379962
1996,3,0.4427321949187839
1996,4,0.8376690946930281
1996,5,0.6188271604938271
1996,6,0.5
1996,7,1.0
1996,8,0.6425692018274657
1996,9,0.7083333333333334
1996,10,0.4574652777777778
1996,11,0.5041322314049586
1996,12,1.0
1996,13,0.9002770083102491
1996,14,1.0
1996,15,0.2485136741973841
1996,16,0.5806433376674769
1996,17,0.9500328731097962
1997,1,0.3758075295165961
1997,2,0.404296875
1997,3,0.3866666666666667
1997,4,0.7772096420745069
1997,5,0.4649227110582639
1997,6,0.3333333333333333
1997,7,0.625
1997,8,0.5280276816608996
1997,9,0.7731568998109641
1997,10,0.4345825115055884
1997,11,0.3698979591836735
1997,12,0.5
1997,13,0.7644628099173554
1997,14,0.5555555555555556
1997,15,0.3271604938271605
1997,16,0.6609086950210481
1997,17,0.8922448979591837
1998,1,0.7259247448979591
1998,2,0.549117247623359
1998,3,0.3886704219364439
1998,4,0.5280476178206086
1998,5,0.5983379501385042
1998,6,0.5510204081632654
1998,7,0.8755555555555556
1998,8,0.5133511890268646
1998,9,0.6412500000000001
1998,10,0.6676406135865597
1998,11,0.4073724007561437
1998,12,0.8305785123966942
1998,13,0.8755555555555556
1998,14,0.625
1998,15,0.2346938775510204
1998,16,0.7441556686635736
1998,17,0.7603878116343491
1999,1,0.6877582644628099
1999,2,0.5169541939321831
1999,3,0.4505513003955895
1999,4,0.7964545146599421
1999,5,0.6311111111111111
1999,6,0.6213017751479291
1999,7,1.0
1999,8,0.6712439012122127
1999,9,0.6326530612244897
1999,10,0.7026474052948105
1999,11,0.6873709889285043
1999,12,0.6193771626297578
1999,13,0.7335069444444444
1999,14,0.4400000000000001
1999,15,0.296875
1999,16,0.7183264345426507
1999,17,0.9081632653061223
2000,1,0.5948788294467309
2000,2,0.4839476813317479
2000,3,0.2743353401886089
2000,4,0.6030521262002743
2000,5,0.6219723183391003
2000,6,0.5622222222222221
2000,7,0.4814814814814815
2000,8,0.3797477324263038
2000,9,0.3418367346938775
2000,10,0.586209492265422
2000,11,0.3884110457220462
2000,12,0.7248520710059171
2000,13,0.6483950617283952
2000,14,0.5733333333333333
2000,15,0.285583103764922
2000,16,0.5596913580246914
2000,17,0.844152249134948
2001,1,0.4033016800584368
2001,2,0.4210526315789473
2001,3,0.3002435542118082
2001,4,0.6158311647459178
2001,5,0.4178125000000001
2001,6,0.537109375
2001,7,0.3950617283950618
2001,8,0.3945889641183083
2001,9,0.4104308390022676
2001,10,0.5053979238754325
2001,11,0.3798591980410162
2001,12,0.5013850415512465
2001,13,0.6846874999999998
2001,14,0.3888888888888889
2001,15,0.4854318418314255
2001,16,0.5764175849403121
2001,17,0.8145659768879335
2002,1,0.4018382596045759
2002,2,0.3966942148760331
2002,3,0.301477377654663
2002,4,0.3546372819100091
2002,5,0.3857340720221606
2002,6,0.4375
2002,7,0.2908587257617728
2002,8,0.3535536441828882
2002,9,0.2789115646258503
2002,10,0.3107779059336154
2002,11,0.2607689569241723
2002,12,0.263157894736842
2002,13,0.4770761245674741
2002,14,0.34
2002,15,0.2958882020962106
2002,16,0.3831127914303718
2002,17,0.7509525986892243
2003,1,0.4113622843545509
2003,2,0.3494046314559136
2003,3,0.3179569005701172
2003,4,0.3463375050716269
2003,5,0.4246961805555554
2003,6,0.5482041587901699
2003,7,0.2702331961591221
2003,8,0.4051967024939997
2003,9,0.2752675386444708
2003,10,0.3569489092100745
2003,11,0.3157262905162065
2003,12,0.4112490869247625
2003,13,0.6034175863296546
2003,14,0.4238227146814403
2003,15,0.3267988416128313
2003,16,0.3448881373569199
2003,17,0.5283044982698963
2004,1,0.4176654404493492
2004,2,0.3661971830985915
2004,3,0.2688793498489652
2004,4,0.3504413761883206
2004,5,0.4186862244897958
2004,6,0.3684585261658953
2004,7,0.2794292508917955
2004,8,0.3140546967895363
2004,9,0.2525252525252525
2004,10,0.3611052766692339
2004,11,0.3435434007134363
2004,12,0.1597222222222222
2004,13,0.5086390532544378
2004,14,0.41
2004,15,0.3720987654320987
2004,16,0.3547100769375118
2004,17,0.589041095890411
2005,1,0.4308672665522917
2005,2,0.4596217839461083
2005,3,0.3249863038714391
2005,4,0.4429800968262507
2005,5,0.5568109596779891
2005,6,0.3130165289256198
2005,7,0.2675386444708681
2005,8,0.3658465269476528
2005,9,0.3352440828402367
2005,10,0.355709017103537
2005,11,0.257404081632653
2005,12,0.4058641975308643
2005,13,0.379008500967932
2005,14,0.2307692307692308
2005,15,0.2596449704142012
2005,16,0.31826171875
2005,17,0.7333506763787723
2006,1,0.3507231555880204
2006,2,0.4063475546305931
2006,3,0.2311246153993617
2006,4,0.2791136706012471
2006,5,0.3883975026014568
2006,6,0.3339273780351972
2006,7,0.2324670701317195
2006,8,0.3197337655436285
2006,9,0.2793119058397465
2006,10,0.2560707420222991
2006,11,0.2674187670195123
2006,12,0.24609375
2006,13,0.2511153119092627
2006,14,0.2132963988919667
2006,15,0.2689795325881841
2006,16,0.2912968064483216
2006,17,0.579620160701242
2007,1,0.2769056188692643
2007,2,0.2889902691159698
2007,3,0.2136212769674207
2007,4,0.2130043338834548
2007,5,0.3003525076109598
